snr_db,symbol_id,I_clean,Q_clean,rx_I,rx_Q,r,theta
0,0,-0.9486832980505138,-0.9486832980505138,-2.1039856732467577,-0.437218464220268,2.148933618956794,-2.9367038007894872
0,0,-0.9486832980505138,-0.9486832980505138,-0.1050584518313214,-1.0497826735214275,1.055026511480631,-1.6705406044367712
0,0,-0.9486832980505138,-0.9486832980505138,-1.4103935259474112,-1.5695682486453122,2.110155061882866,-2.302830182371589
0,0,-0.9486832980505138,-0.9486832980505138,-1.0549664938218288,-0.5112630104004704,1.1723242592774723,-2.6903206230991707
0,0,-0.9486832980505138,-0.9486832980505138,-0.9109504180656433,-0.9382785234559772,1.307745101980007,-2.3414174576574207
0,0,-0.9486832980505138,-0.9486832980505138,-0.9407396861932986,-0.9316158389567046,1.323971007452229,-2.3610673761900207
0,0,-0.9486832980505138,-0.9486832980505138,-0.2326626754030075,-1.5565747745754934,1.5738668779062712,-1.719168804047484
0,0,-0.9486832980505138,-0.9486832980505138,-0.8386789618869428,-0.9044542982991052,1.2334585436176957,-2.3184784151034306
0,0,-0.9486832980505138,-0.9486832980505138,-0.6622834620104228,-1.880282468389188,1.9935098557529756,-1.9094524107502373
0,0,-0.9486832980505138,-0.9486832980505138,-1.8086465394159967,-0.0798492462282012,1.8104082983307033,-3.097472684870104
0,0,-0.9486832980505138,-0.9486832980505138,-1.3568113182609771,-0.3430346767980915,1.3995033915096675,-2.8939577323582824
